Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,MR exponent
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,21.9,n/a,n/a,2.41,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,32.8,n/a,n/a,2.82,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,15.6,n/a,n/a,4.6,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,9.4,n/a,n/a,6.37,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,12.5,n/a,n/a,8.14,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,4.7,n/a,n/a,9.91,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,3.1,n/a,n/a,20.54,0.45
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,1.89,0.45
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,2.16,0.45
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,40,n/a,n/a,2.42,0.45
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,2.69,0.45
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,2.95,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,21.9,n/a,n/a,1.46,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,32.8,n/a,n/a,2.2,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,15.6,n/a,n/a,3.58,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,9.4,n/a,n/a,4.96,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,12.5,n/a,n/a,6.34,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,4.7,n/a,n/a,7.71,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,3.1,n/a,n/a,15.99,0.61
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,1.51,0.61
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,1.73,0.61
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,40,n/a,n/a,1.94,0.61
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,2.15,0.61
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,2.36,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,21.9,n/a,n/a,0.63,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,32.8,n/a,n/a,1.68,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,15.6,n/a,n/a,2.73,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,9.4,n/a,n/a,3.79,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,12.5,n/a,n/a,4.84,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,4.7,n/a,n/a,5.89,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,3.1,n/a,n/a,12.22,0.68
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,1.19,0.68
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,1.35,0.68
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,40,n/a,n/a,1.52,0.68
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,1.68,0.68
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,1.85,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,21.9,n/a,n/a,0.53,0.75
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,32.8,n/a,n/a,1.11,0.75
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,15.6,n/a,n/a,1.81,0.75
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,9.4,n/a,n/a,2.51,0.75
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,12.5,n/a,n/a,3.21,0.75
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,4.7,n/a,n/a,3.91,0.75
Balaenidae,Eubalaena,glacialis,11.6,34100,n/a,3.1,n/a,n/a,8.11,0.75
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,0.81,0.75
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,0.92,0.75
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,40,n/a,n/a,1.03,0.75
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,25,n/a,n/a,1.15,0.75
Balaenidae,Balaena,mysticetus,11.7,"22,600",n/a,5,n/a,n/a,1.26,0.75
