Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,2740,1.9,,8054,1.16,1.22,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,7.5,2.94,17640,2.53,2.65,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,12.1,2.94,37926,5.44,5.71,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,17.8,2.94,81850,11.74,12.31,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,22.7,2.94,176400,25.31,26.54,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,22.7,2.94,379966,54.51,57.16,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,12.8,2.94,818849,117.47,123.18,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,2.5,2.94,1764000,253.05,265.35,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,6160,1.9,2.94,18109,0.85,0.93,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,7.4,2.94,39396,1.84,2.02,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,12.2,2.94,84701,3.95,4.35,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,17.3,2.94,182797,8.53,9.39,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,23.0,2.94,393960,18.37,20.23,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,22.8,2.94,848590,39.65,43.67,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,12.9,2.94,1828762,85.46,94.11,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,2.5,2.94,3939600,184.10,202.73,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,17158,1.5,2.94,50445,0.74,0.90,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,37300,6.1,2.94,109662,1.62,1.95,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,80195,10.7,2.94,235773,3.48,4.20,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,173072,17.1,2.94,508832,7.51,9.06,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,373000,24.5,2.94,1096620,16.18,19.54,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,803442,24.2,2.94,2362119,34.85,42.08,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,1731466,13.3,2.94,5090510,75.10,90.69,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,3730000,2.5,2.94,10966200,161.79,195.36,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,124,4.0,2.94,363,0.49,0.56,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,268,11.6,2.94,788,1.06,1.21,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,576,15.2,2.94,1694,2.29,2.60,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,1244,18.6,2.94,3656,4.94,5.61,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,20.4,2.94,7879,10.65,12.10,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,17.8,2.94,16972,22.94,26.06,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,12467,10.2,2.94,36652,49.44,56.16,0.75,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,26857,2.1,2.94,78958,106.50,120.97,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,24,4.0,2.94,71,0.59,0.75,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,52,11.9,2.94,154,1.29,1.62,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,113,15.7,2.94,331,2.77,3.49,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,243,18.9,2.94,714,5.98,7.52,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,523,20.1,2.94,1539,12.88,16.21,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,1127,17.1,2.94,3312,27.73,34.89,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,2430,10.0,2.94,7144,59.81,75.26,0.75,,,,,,,,,,,,,
,Diorocetus,shobarensis,4.6,1034,5235,2.3,2.94,15390,128.84,162.13,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,50,3.8,2.94,146,0.63,0.73,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,108,11.4,2.94,318,1.37,1.59,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,232,15.3,2.94,684,2.96,3.42,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,497,18.9,2.94,1462,6.32,7.31,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,1081,20.5,2.94,3179,13.75,15.90,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,2329,17.7,2.94,6848,29.61,34.24,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,5020,10.1,2.94,14758,63.82,73.80,0.75,,,,,,,,,,,,,
,Megaptera,hubachi,5.6,2007,10814,2.2,2.94,31793,137.49,158.97,0.75,,,,,,,,,,,,,
,Balaenoptera,bertae,6.4,3056,78,3.9,2.94,231,0.72,0.85,0.75,,,,,,,,,,,,,
,Balaenoptera,bertae,6.4,3056,171,11.5,2.94,502,1.58,1.85,0.75,,,,,,,,,,,,,
,Balaenoptera,bertae,6.4,3056,367,15.3,2.94,1078,3.39,3.98,0.75,,,,,,,,,,,,,
,Balaenoptera,bertae,6.4,3056,792,19.0,2.94,2327,7.31,8.59,0.75,,,,,,,,,,,,,
,Balaenoptera,bertae,6.4,3056,1706,20.4,2.94,5015,15.76,18.50,0.75,,,,,,,,,,,,,
