Order,Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,MR exponent,Total_Energy_in (J),Feeding_E_out (J),DiveSurf_E_out (J),Total_E_out (J),,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,0.5,2.94,17640,2.53,0.75,55706258,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,3.7,2.94,37926,5.44,0.75,119768454,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,8.3,2.94,81849.6,11.74,0.75,258477035,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,13.9,2.94,176400,25.31,0.75,557062576,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,24.7,2.94,379965.6,54.51,0.75,1199912788,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,30.9,2.94,818848.8,117.47,0.75,2585884476,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,18.0,2.94,1764000,253.05,0.75,5570625756,11328783,10684870,22013652,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,1.0,2.94,39396,1.84,0.75,94858075,30250984,21377635,51628619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,3.3,2.94,84701.4,3.95,0.75,203944862,30250984,21377635,51628619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,8.2,2.94,182797.44,8.53,0.75,440141469,30250984,21377635,51628619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,17.0,2.94,393960,18.37,0.75,948580753,30250984,21377635,51628619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,28.8,2.94,848589.84,39.65,0.75,2043242942,30148405,21377635,51526040,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,29.9,2.94,1828762.32,85.46,0.75,4403311855,30148405,21377635,51526040,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,11.8,2.94,3939600,184.10,0.75,9485807530,30148405,21377635,51526040,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,268,1.4,4.58,1227,1.66,0.75,4892215,1530430,1421659,2952089,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,576,28.2,4.58,2639,3.56,0.75,10518263,1530430,1421659,2952089,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,1244,27.3,4.58,5695,7.69,0.75,22699879,1530430,1421659,2952089,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,35.7,4.58,12274,16.57,0.75,48922153,1530430,1421659,2952089,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,7.4,4.58,26439,35.70,0.75,105378318,1530430,1421659,2952089,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,1260,0.0,3.07,3869,0.92,0.75,6181326,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,2740,1.3,3.07,8412,2.00,0.75,13437666,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,5891,6.3,3.07,18085,4.30,0.75,28890981,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,12714,12.5,3.07,39031,9.27,0.75,62350768,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,27400,19.0,3.07,84118,19.98,0.75,134376655,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,59020,27.1,3.07,181190,43.04,0.75,289447315,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,127191,25.7,3.07,390476,92.75,0.75,623776433,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,274000,8.2,3.07,841180,199.80,0.75,1343766550,3123266,3602230,6725496,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,0.5,2.94,17640,3.97,0.68,55706258,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,3.7,2.94,37926,8.53,0.68,119768454,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,8.3,2.94,81849.6,18.42,0.68,258477035,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,13.9,2.94,176400,39.69,0.68,557062576,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,24.7,2.94,379965.6,85.50,0.68,1199912788,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,30.9,2.94,818848.8,184.26,0.68,2585884476,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,18.0,2.94,1764000,396.95,0.68,5570625756,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,1.0,2.94,39396,2.80,0.68,94858075,24412040,9460168,33872208,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,3.3,2.94,84701.4,6.02,0.68,203944862,24412040,9460168,33872208,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,8.2,2.94,182797.44,12.99,0.68,440141469,24412040,9460168,33872208,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,17.0,2.94,393960,28.00,0.68,948580753,24412040,9460168,33872208,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,28.8,2.94,848589.84,60.40,0.68,2043242942,24366646,9460168,33826814,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,29.9,2.94,1828762.32,130.17,0.68,4403311855,24366646,9460168,33826814,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,11.8,2.94,3939600,280.42,0.68,9485807530,24366646,9460168,33826814,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,268,1.4,4.58,1227,2.33,0.68,4892215,1345401,758217,2103619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,576,28.2,4.58,2639,5.00,0.68,10518263,1345401,758217,2103619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,1244,27.3,4.58,5695,10.79,0.68,22699879,1345401,758217,2103619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,35.7,4.58,12274,23.26,0.68,48922153,1345401,758217,2103619,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,7.4,4.58,26439,50.09,0.68,105378318,1345401,758217,2103619,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,1260,0.0,3.07,3869,1.55,0.68,6181326,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,2740,1.3,3.07,8412,3.37,0.68,13437666,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,5891,6.3,3.07,18085,7.25,0.68,28890981,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,12714,12.5,3.07,39031,15.64,0.68,62350768,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,27400,19.0,3.07,84118,33.70,0.68,134376655,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,59020,27.1,3.07,181190,72.59,0.68,289447315,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,127191,25.7,3.07,390476,156.44,0.68,623776433,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,274000,8.2,3.07,841180,337.02,0.68,1343766550,2228225,1759018,3987243,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,0.5,2.94,17640,5.38,0.61,55706258,8007180,2343917,10351097,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,3.7,2.94,37926,11.57,0.61,119768454,8007180,2343917,10351097,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,8.3,2.94,81849.6,24.97,0.61,258477035,8007180,2343917,10351097,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,13.9,2.94,176400,53.82,0.61,557062576,8007180,2343917,10351097,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,24.7,2.94,379965.6,115.92,0.61,1199912788,8007180,2343917,10351097,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,30.9,2.94,818848.8,249.82,0.61,2585884476,8007180,2343917,10351097,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,18.0,2.94,1764000,396.95,0.61,5570625756,9055985,4977594,14033578,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,1.0,2.94,39396,3.64,0.61,94858075,21851840,4234721,26086561,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,3.3,2.94,84701.4,7.82,0.61,203944862,21851840,4234721,26086561,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,8.2,2.94,182797.44,16.87,0.61,440141469,21851840,4234721,26086561,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,17.0,2.94,393960,36.36,0.61,948580753,21851840,4234721,26086561,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,28.8,2.94,848589.84,78.39,0.61,2043242942,21831520,4234721,26066241,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,29.9,2.94,1828762.32,168.93,0.61,4403311855,21831520,4234721,26066241,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,11.8,2.94,3939600,363.91,0.61,9485807530,21831520,4234721,26066241,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,268,1.4,4.58,1227,2.95,0.61,4892215,1247723,407978,1655701,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,576,28.2,4.58,2639,6.35,0.61,10518263,1247723,407978,1655701,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,1244,27.3,4.58,5695,13.71,0.61,22699879,1247723,407978,1655701,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,35.7,4.58,12274,29.55,0.61,48922153,1247723,407978,1655701,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,7.4,4.58,26439,63.65,0.61,105378318,1247723,407978,1655701,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,1260,0.0,3.07,3869,2.33,0.61,6181326,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,2740,1.3,3.07,8412,5.07,0.61,13437666,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,5891,6.3,3.07,18085,10.90,0.61,28890981,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,12714,12.5,3.07,39031,23.53,0.61,62350768,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,27400,19.0,3.07,84118,50.71,0.61,134376655,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,59020,27.1,3.07,181190,109.22,0.61,289447315,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,127191,25.7,3.07,390476,235.38,0.61,623776433,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,274000,8.2,3.07,841180,507.06,0.61,1343766550,1791164,858953,2650117,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,0.5,2.94,17640,7.27,0.45,55706258,7240671,419119,7659790,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,3.7,2.94,37926,15.64,0.45,119768454,7240671,419119,7659790,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,8.3,2.94,81849.6,33.74,0.45,258477035,7240671,419119,7659790,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,13.9,2.94,176400,72.73,0.45,557062576,7240671,419119,7659790,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,24.7,2.94,379965.6,156.65,0.45,1199912788,7240671,419119,7659790,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,30.9,2.94,818848.8,337.59,0.45,2585884476,7240671,419119,7659790,,,,,
