Species,Group,TL (m),Mc (kg),logMC,0.45,0.61,0.68,0.75,MR,log of MR,Calc MR,Calc value
Diorocetus_shobarensis,Rorqual,4.6,1034,3.014520539,18.17732814,14.335433,11.97447054,9.445610757,0.45,1.259530047,,
Megaptera_hubachi,Rorqual,5.6,2007,3.302547372,22.10609011,17.21516206,14.09977117,10.77830277,0.45,1.344511936,,
Balaenoptera_bertae,Rorqual,6.4,3056,3.48515335,25.72736382,20.23892542,16.55704806,12.55236492,0.45,1.410395288,,
Balaenoptera_bonarensis,Rorqual,7.8,6700,3.826074803,24.94150572,18.9880312,14.94496183,10.7077069,0.45,1.396922668,,
Megaptera_novaeangliae,Rorqual,14,36000,4.556302501,79.31776483,48.54612218,32.26613002,19.1291349,0.45,1.899370467,,
Balaenoptera_physalus,Rorqual,20.2,53000,4.72427587,72.72556702,53.81676609,39.69497704,25.49044826,0.45,1.861687116,,
Balaenoptera_musculus,Rorqual,25.2,93000,4.968482949,45.64451722,42.63463631,28.0046919,18.50348554,0.45,1.659388618,,
Balaenoptera_huge,Rorqual,33,246000,5.390935107,15.00251859,13.86067639,12.35222799,9.807367669,0.45,1.176164174,,
Balaenoptera_giganto,Rorqual,41,417255.326,5.620401889,4.673527496,4.559504078,4.379269809,3.98912526,0.45,0.669644802,,
Phocoena_phocaena,Odontocete,1.4,33,1.51851394,8.567906033,5.301322013,4.252105635,3.394082107,0.45,0.932874695,0.45,1.024444767
Grampus_greiseus,Odontocete,3,350,2.544068044,22.57853646,9.465952297,6.378914879,4.277043903,0.45,1.353695788,0.45,0.952143203
Mesoplodon_densirostris,Odontocete,4.1,860,2.934498451,3.372862695,1.164536989,0.728180272,0.454738447,0.45,0.527998662,0.45,0.924617859
Globicephala_macrorhynchus,Odontocete,4.3,980,2.991226076,4.960580729,2.650441527,1.850826353,1.243338117,0.45,0.695532522,0.45,0.920618562
Globicephala_melas,Odontocete,5,1200,3.079181246,15.00394606,5.811904821,3.654533161,2.293860151,0.45,1.176205494,0.45,0.914417722
Orcinus_orca,Odontocete,6,3000,3.477121255,10.54799306,7.431432923,5.684073811,4.026059476,0.45,1.023169835,0.45,0.886362952
Berardius_bairdii,Odontocete,10.5,11900,4.075546961,4.272548747,0.833642262,0.736199448,0.393866239,0.45,0.630687026,0.45,0.844173939
