ID,Grouping,Group,Species,TADL (min),O2 store,Prey W (g),Prey E  (kJ),logPreyE,E feeding (kJ),logE feeding,Eff_max,logEff_max),TL (m),Mc (kg),# dives,MXD (m),Depth (m),DT_max (min),DT_max-TADL,DT_max-TADL+25,log of that,DT_med (min),BTM_max (min),BTM_med (min),BTM_max/DT,BTM_med/DT,FE_max,FE_med,FE/DT max,FE/DT med,ST_max (min),ST_med (min),log FE max
gg11_216a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,39,493.97,107.33,10.32,1.32,26.32,1.42,5.19,6.36,2.85,0.89,0.50,32,7,4.62,1.29,8.12,2.69,1.51
gg11_264a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,6,555.66,231.32,9.16,0.16,25.16,1.40,5.64,3.05,1.74,0.56,0.24,7,3.5,0.91,0.64,224.17,5.74,0.85
gg11_265a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,41,226.84,117.69,8.06,-0.94,24.06,1.38,4.11,3.77,1.31,0.69,0.33,13,4,3.9,0.92,30.71,1.31,1.11
gg13_190a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,9,139.45,60.86,3.68,-5.32,19.68,1.29,2.49,1.61,0.43,0.63,0.21,8,2,3.14,1.21,241.86,0.78,0.90
gg13_204b,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,1,123.36,123.36,4.32,-4.68,20.32,1.31,4.32,0.06,0.06,0.01,0.01,1,1,0.23,0.23,4.04,4.04,0.00
gg13_212a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,3,122.85,96.12,5.54,-3.47,21.54,1.33,5.15,0.47,0.03,0.08,0.01,2,1,0.4,0.36,1.40,1.24,0.30
gg13_255a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,2,127.71,115.09,6.29,-2.71,22.29,1.35,6.20,3.61,2.99,0.59,0.48,6,5.5,0.98,0.89,1.29,1.26,0.78
gg13_261a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,11,278.64,196.73,7.62,-1.38,23.62,1.37,5.80,4.15,0.40,0.62,0.07,9,4,1.52,0.61,20.01,6.49,0.95
gg13_262a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,19,82.46,72.09,4.31,-4.69,20.31,1.31,3.96,3.49,2.67,0.81,0.71,29,16,6.74,4.27,81.58,1.34,1.46
gg13_262b,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,28,248.87,176.23,9.37,0.37,25.37,1.40,5.68,7.16,3.76,0.81,0.67,23,13,4.17,2.29,3.27,1.61,1.36
gg13_262c,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,10,231.33,49.78,6.45,-2.55,22.45,1.35,3.05,3.69,0.72,0.79,0.22,41,2,8.75,0.63,113.98,2.29,1.61
gg13_264a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,5,141.87,108.79,5.37,-3.63,21.37,1.33,5.13,2.61,1.56,0.57,0.30,7,4,1.54,0.77,4.55,1.79,0.85
gg13_266b,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,10,386.08,91.44,7.38,-1.62,23.38,1.37,3.18,2.86,2.05,0.81,0.43,11,4.5,2.03,1.45,5.62,1.63,1.04
gg14_223a,Delphinidae+Phocenidae,Odontocete,Grampus_griseus,9,23,104,277,2.44,1.10,0.04,2.822109796,0.45,3,350,17,258.84,106.88,4.76,-4.24,20.76,1.32,3.31,2.22,1.33,0.70,0.35,7,4,2.64,1.41,13.00,2.22,0.85
